PROVINCIA;CANTÓN;MES;DIA;HORA;ZONA;NUM_FALLECIDO;NUM_LESIONADO;TOTAL_VICTIMAS;CLASE;CAUSA
23;2301;1;5;7;2;0;1;1;3;4
9;0906;1;5;12;2;0;0;0;5;4
9;0916;1;5;14;2;0;0;0;7;4
23;2301;1;5;15;2;0;1;1;3;7
7;0706;1;5;16;2;0;1;1;1;4
24;2402;1;5;17;1;0;1;1;3;7
9;0910;1;5;17;2;0;1;1;1;4
1;0101;1;5;17;2;0;0;0;7;4
17;1703;1;5;17;2;0;0;0;7;4
13;1312;1;5;20;2;0;1;1;2;5
7;0710;1;5;21;2;0;0;0;4;4
9;0909;1;5;22;1;0;1;1;2;5
9;0901;1;5;23;2;0;0;0;7;4
9;0901;1;6;0;2;0;0;0;4;4
7;0706;1;6;6;2;0;1;1;3;7
9;0912;1;6;6;1;0;1;1;3;7
9;0906;1;6;10;2;0;1;1;3;7
12;1210;1;6;11;2;0;0;0;3;4
13;1309;1;6;13;2;0;0;0;3;4
13;1312;1;6;14;2;0;0;0;7;4
12;9008;1;6;15;1;0;1;1;2;5
1;0103;1;6;18;2;0;4;4;3;7
9;0920;1;6;21;2;1;2;3;3;7
9;0909;1;7;0;2;0;1;1;3;7
12;1208;1;7;0;1;0;1;1;2;5
1;0101;1;7;1;2;0;1;1;7;4
9;0916;1;7;6;2;0;1;1;7;4
9;0916;1;7;9;2;0;0;0;7;4
7;0712;1;7;11;2;0;0;0;3;7
9;0912;1;7;14;2;0;2;2;3;7
12;1207;1;7;15;1;0;3;3;3;7
9;0920;1;7;16;2;0;1;1;2;5
13;1301;1;7;16;2;0;0;0;3;7
24;2401;1;7;16;1;0;1;1;7;4
9;0922;1;7;17;2;0;1;1;2;5
13;1312;1;7;19;2;0;2;2;7;4
9;0906;1;7;19;1;0;0;0;5;4
9;0906;1;7;19;2;0;2;2;7;4
9;0916;1;7;19;2;0;0;0;4;4
12;1207;1;7;21;1;0;2;2;2;5
7;0702;1;7;21;2;0;2;2;7;4
9;0916;1;7;21;2;2;0;2;3;4
9;0909;1;7;23;1;0;2;2;3;7
9;0920;1;1;5;2;1;0;1;1;4
13;1301;1;1;9;2;0;1;1;2;5
9;0910;1;1;12;2;1;0;1;7;4
24;2402;1;1;15;2;0;2;2;1;4
13;1321;1;1;15;2;0;0;0;5;4
12;1207;1;1;16;1;0;3;3;4;4
13;1319;1;1;18;2;0;2;2;3;7
24;2401;1;1;19;2;0;3;3;3;4
13;1303;1;1;19;2;0;2;2;2;5
9;0902;1;1;20;2;0;1;1;1;4
9;0918;1;1;20;2;0;1;1;1;4
12;1210;1;1;21;2;0;0;0;7;4
9;0906;1;2;8;2;0;2;2;1;4
9;0920;1;2;10;2;0;1;1;3;7
24;2402;1;2;13;1;0;1;1;4;4
9;0904;1;2;14;1;0;2;2;3;7
24;2403;1;2;15;2;0;2;2;3;7
1;0110;1;2;16;2;0;0;0;4;4
23;2301;1;2;21;2;0;2;2;3;4
12;1211;1;2;21;2;1;0;1;3;7
13;1309;1;2;22;2;0;2;2;3;7
9;0911;1;3;8;2;1;0;1;1;4
9;0922;1;3;11;2;0;2;2;1;4
2;0207;1;3;12;1;0;2;2;7;4
9;0911;1;3;15;2;0;2;2;3;7
9;0904;1;3;20;1;0;1;1;3;7
12;1210;1;4;5;2;0;1;1;1;4
9;0920;1;4;13;2;0;1;1;4;4
9;0927;1;4;17;1;0;1;1;3;7
1;0101;1;5;3;2;0;2;2;3;7
24;2401;1;5;9;2;1;0;1;7;4
9;0904;1;5;12;2;0;2;2;3;4
24;2402;1;5;15;1;0;1;1;3;7
12;1204;1;5;15;2;0;2;2;7;4
9;0905;1;5;17;2;1;0;1;6;4
9;0921;1;5;17;1;0;2;2;1;4
9;0914;1;5;18;2;0;1;1;3;7
9;0918;1;5;20;2;0;0;0;7;4
12;1212;1;5;20;2;1;0;1;7;4
1;0101;1;5;21;2;0;0;0;5;4
13;1306;1;5;23;2;0;1;1;7;4
13;1301;1;6;0;2;0;1;1;3;7
9;0920;1;6;5;2;0;1;1;7;4
9;0911;1;6;5;2;1;0;1;7;4
1;0101;1;6;8;2;0;3;3;3;7
9;0920;1;6;14;2;0;1;1;3;7
13;1315;1;6;16;2;0;1;1;3;4
9;0909;1;6;17;2;0;1;1;3;7
9;0909;1;6;18;2;1;0;1;4;4
9;0910;1;6;19;2;0;1;1;3;4
9;0912;1;6;19;2;0;1;1;2;5
9;0906;1;6;21;1;0;1;1;2;5
9;0904;1;6;21;2;0;1;1;3;4
7;0702;1;6;23;2;0;0;0;7;4
