Segmento;Tráfico;Movimiento;TipoVuelo;Origen;Destino;Total;Enero;Febrero;Marzo;Abril;Mayo;Junio;Julio;Agosto;Septiembre;Octubre;Noviembre;Diciembre
1;2;3;2;Quito;Loja;2491;212;341;196;250;132;142;150;308;152;167;135;306
1;2;3;2;Loja;Quito;4667;396;440;275;334;369;309;342;637;318;427;316;504
1;2;3;2;Loja;Guayaquil;35;10;5;0;0;3;0;6;0;3;0;5;3
1;2;3;2;Guayaquil;Loja;77;0;0;0;72;0;0;0;0;0;0;5;0
1;2;3;2;Loja;Otros;9;0;0;0;0;0;0;9;0;0;0;0;0
1;2;3;2;Latacunga;Quito;4;0;0;0;0;0;0;0;0;0;0;0;4
1;2;3;2;Guayaquil;Latacunga;350;0;0;88;67;0;120;0;0;0;0;75;0
1;2;3;2;Latacunga;Guayaquil;379;0;0;97;70;3;128;0;3;0;0;74;4
1;2;3;2;Latacunga;Coca;3;0;0;0;0;0;0;3;0;0;0;0;0
1;2;3;2;Latacunga;Otros;123;0;0;0;0;56;0;0;7;59;0;1;0
1;2;3;2;Quito;Esmeraldas;1968;0;0;0;0;0;0;199;452;253;251;304;509
1;2;3;2;Esmeraldas;Quito;1747;0;0;0;0;0;1;150;470;217;228;376;305
1;2;3;2;Esmeraldas;Guayaquil;66;0;0;4;2;3;8;4;23;10;7;5;0
1;2;3;2;Esmeraldas;Otros;37;0;3;6;0;0;4;4;4;4;4;4;4
1;2;3;2;Quito;Santa Rosa;584;6;13;143;49;1;97;45;8;46;116;60;0
1;2;3;2;Santa Rosa;Quito;650;16;25;181;55;1;9;48;95;47;124;0;49
1;2;3;2;Guayaquil;Santa Rosa;125;3;0;2;0;0;0;0;76;6;0;38;0
1;2;3;2;Santa Rosa;Guayaquil;558;62;12;58;55;46;73;66;40;17;37;58;34
1;2;3;2;Santa Rosa;Otros;340;13;10;17;17;61;97;13;9;58;6;10;29
1;2;3;2;Manta;Quito;453;0;0;102;0;110;4;0;0;175;2;0;60
1;2;3;2;Quito;Manta;290;0;30;76;0;109;4;0;0;0;20;35;16
1;2;3;2;Manta;Guayaquil;340;14;7;14;24;108;19;21;23;20;16;37;37
1;2;3;2;Guayaquil;Manta;139;0;0;47;2;78;0;0;0;0;0;10;2
1;2;3;2;Manta;Salinas;2;0;0;0;0;2;0;0;0;0;0;0;0
1;2;3;2;Manta;Otros;175;1;3;106;2;4;17;10;4;0;4;6;18
1;2;3;2;Quito;Salinas;10;0;0;3;2;0;0;0;5;0;0;0;0
